Headword,Definitions,Part of Speech,Semantic Group,Frequency Rank
l_x l_cis f.,light of day,Noun: 3rd Declension,Air and Fire,299
m_nsa -ae f.,table,Noun: 1st Declension,The House,747
m_s m_ris m.,"custom, habit; (pl.) character",Noun: 3rd Declension,Social Life,181
nec,"and not, nor; nec ... nec, neither ... nor; _ neque",Conjunction,Conjunctions/Adverbs,19
levis -e,"light, trivial",Adjective: 3rd Declension,Measurement,220
maestus -a -um,"sad, sorrowful; depressing",Adjective: 1st and 2nd Declension,Emotions,669
mere_ mer_re meru_ meritum,"deserve, merit; serve as a soldier",Verb: 2nd Conjugation,Business/Money,852
move_ -_re m_v_ m_tum,move,Verb: 2nd Conjugation,Motion,192
necessit_s -t_tis f.,"necessity, need",Noun: 3rd Declension,Business/Money,911
l_x l_gis f.,law,Noun: 3rd Declension,Justice,264
magister magistr_ m.,"master, chief",Noun: 2nd Declension,Education/Knowledge,933
meus -a -um,my,Pronoun,Pronouns/Interrogatives,41
multus -a -um,"much, many; mult_, by far",Adjective: 1st and 2nd Declension,Measurement,43
neg_ -_re,"deny, refuse",Verb: 1st Conjugation,Speech/Oratory,294
l_ber l_bera l_berum,free; l_ber_ (m. pl.): freeborn children,Adjective: 1st and 2nd Declension,Justice,229
m_gnit_d_ -inis f.,"greatness, size",Noun: 3rd Declension,Measurement,672
m_les -itis m.,soldier,Noun: 3rd Declension,War and Peace,161
mulier -eris f.,woman,Noun: 3rd Declension,People,961
neg_tium -_ n.,business,Noun: 2nd Declension,Business/Money,846
liber libr_ m.,book,Noun: 2nd Declension,Writing/Poetry,901
m_gnus -a -um,great,Adjective: 1st and 2nd Declension,Measurement,25
m_lle (pl.) m_lia,thousand,Adjective: Numeral,Measurement,247
multit_d_ -inis f.,"multitude, number",Noun: 3rd Declension,Measurement,733
n_m_,"no one (gen. n_ll_us, dat. n_ll_, abl. n_ll_ or n_ll_ _ n_llus -a -um)",Pronoun,Pronouns/Interrogatives,179
l_bert_s -_tis f.,freedom,Noun: 3rd Declension,The City,495
m_i_r_s m_i_rum m.,ancestors,Noun: 3rd Declension,The Household,764
misce_ misc_re miscu_ mixtum,mix,Verb: 2nd Conjugation,Earth and Water,425
mundus -a -um,"clean, neat, elegant",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,997
nemus nemoris n.,"grove, forest",Noun: 3rd Declension,Animals/Plants,461
h_ra -ae f.,hour,Noun: 1st Declension,Lengths of Time,664
indic_ -_re,"point out, show, make known",Verb: 1st Conjugation,Speech/Oratory,980
_ra irae f.,"wrath, anger",Noun: 1st Declension,Emotions,187
lab_r_ -_re,"toil, work; be in trouble or distress",Verb: 1st Conjugation,Business/Money,900
hospes hospitis m.,"guest, guest-friend; stranger; host",Noun: 3rd Declension,Social Life,873
_nferus -a -um,low; _nferior: lower; _nfimus or _mus: lowest,Adjective: 1st and 2nd Declension,Geography,428
is ea id,"he, she, it",Pronoun,Pronouns/Interrogatives,13
lacrima -ae f.,tear,Noun: 1st Declension,Emotions,354
hostis -is m./f.,"stranger, enemy",Noun: 3rd Declension,War and Peace,93
ingenium -_ n.,"disposition, ability, talent",Noun: 2nd Declension,Education/Knowledge,387
iste ista istud,"that, that of yours; adv. ist_c or ist_c: over there; istinc: from over there",Pronoun,Pronouns/Interrogatives,81
laetus -a -um,"glad, joyful",Adjective: 1st and 2nd Declension,Emotions,262
h_m_nus -a -um,human,Adjective: 1st and 2nd Declension,People,355
ing_ns ingentis,"huge, enormous",Adjective: 3rd Declension,Measurement,202
itaque,"and so, therefore",Conjunction,Conjunctions/Adverbs,208
lapis lapidis m.,stone,Noun: 3rd Declension,Earth and Water,840
humus -_ f.,ground; hum_: on the ground,Noun: 2nd Declension,Earth and Water,740
ingr_tus -a -um:,"unpleasant, disagreeable",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,592
iter itineris n.,"journey, route",Noun: 3rd Declension,Travel,230
late_ lat_re latu_,"lie hidden, be hidden",Verb: 2nd Conjugation,Deception,695
iace_ iac_re iacu_,lie,Verb: 2nd Conjugation,The House,228
inim_cus -a -um:,unfriendly; (as subst.) enemy,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,952
iube_ iub_re iuss_ iussum,"bid, order",Verb: 2nd Conjugation,Justice,84
latus -eris n.,"side, flank",Noun: 3rd Declension,The Body,382
_dem eadem idem,the same,Pronoun,Pronouns/Interrogatives,59
initium -_ n.:,beginning,Noun: 2nd Declension,Time,865
i_dex i_dicis m.,"judge, juror",Noun: 3rd Declension,Justice,839
l_tus -a -um,"broad, wide",Adjective: 1st and 2nd Declension,Measurement,824
igitur,therefore,Conjunction,Conjunctions/Adverbs,313
ini_ria -ae f.:,"injustice, wrong, affront",Noun: 1st Declension,Justice,381
i_dicium -_ n.,"judgment, decision, trial",Noun: 2nd Declension,Justice,749
laud_ -_re,praise,Verb: 1st Conjugation,Social Life,435
ignis -is m.,fire,Noun: 3rd Declension,Air and Fire,151
_nsula -ae f.:,island,Noun: 1st Declension,Geography,908
i_dic_ -_re,"judge, decide",Verb: 1st Conjugation,Justice,565
laus laudis f.,"praise, glory",Noun: 3rd Declension,Social Life,444
ille illa illud,that,Pronoun,Pronouns/Interrogatives,8
integer -gra -grum:,"untouched, fresh, complete, whole",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,815
iugum -_ n.,"yoke; ridge, chain of hills",Noun: 2nd Declension,Animals/Plants,335
l_g_tus -_ m.,"lieutenant, envoy",Noun: 2nd Declension,War and Peace,464
im_g_ -inis f.,"image, form, figure",Noun: 3rd Declension,Vision,754
inter,"between, among; during (+ acc.)",Preposition,Place,64
i_r_ -_re,"take an oath, swear; i_s i_randum, oath",Verb: 1st Conjugation,Justice,896
legi_ -_nis f.,legion,Noun: 3rd Declension,War and Peace,370
imper_tor -_ris m.,commander,Noun: 3rd Declension,War and Peace,723
interrog_ -_re,"put a question to, ask (+ acc.)",Verb: 1st Conjugation,Speech/Oratory,953
i_s i_ris n.,"right, justice, law",Noun: 3rd Declension,Justice,314
imperium -_ n.,"command, power",Noun: 2nd Declension,War and Peace,200
intr_,within (+ acc.),Preposition,Place,704
i_stus -a -um,"right, just, fair",Adjective: 1st and 2nd Declension,Justice,770
hom_ hominis m.,human being,Noun: 3rd Declension,People,88
imper_ -_re,"command, control",Verb: 1st Conjugation,War and Peace,602
intr_ -_re,enter,Verb: 1st Conjugation,Motion,766
iuvenis -is m.,youth,Noun: 3rd Declension,People,277
honestus -a -um,honorable,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,580
imple_ -_re -pl_v_ -pl_tum,"fill in, fill up",Verb: 2nd Conjugation,Earth and Water,671
invidia -ae f.,"envy, jealousy, hatred",Noun: 1st Declension,Emotions,707
iuv_ iuv_re i_v_ i_tum,"help, assist; please, delight",Verb: 1st Conjugation,Social Life,390
honor -_ris m.,"honor, glory; office, post",Noun: 3rd Declension,The City,290
in,"in, on (+ abl.); into, onto (+ acc)",Preposition,Place,5
ipse ipsa ipsum,him- her- itself,Pronoun,Pronouns/Interrogatives,22
labor -_ris m.,"toil, exertion",Noun: 3rd Declension,Business/Money,201
equus -_ m.,horse,Noun: 2nd Declension,Animals/Plants,248
falsus -a -um,"deceptive, false",Adjective: 1st and 2nd Declension,Deception,633
fl_s fl_ris m.,"flower, bloom",Noun: 3rd Declension,Animals/Plants,818
furor -_ris m.,"rage, fury",Noun: 3rd Declension,Emotions,466
erg_,therefore,Conjunction,Conjunctions/Adverbs,134
f_ma -ae f.,"rumor, fame",Noun: 1st Declension,Speech/Oratory,278
fl_men -inis n.,"stream, river",Noun: 3rd Declension,Earth and Water,283
gaude_ gaud_re g_v_sus sum,rejoice,Verb: 2nd Conjugation,Emotions,407
err_ -_re,"go astray, wander",Verb: 1st Conjugation,Travel,402
fam_s -is f.,"hunger, famine",Noun: 3rd Declension,Life and Being,828
foedus -a -um,foul,Adjective: 1st and 2nd Declension,Other Senses,922
gaudium -_ n.,"delight, joy, pleasure",Noun: 2nd Declension,Emotions,727
error -_ris m.,"wandering; error, mistake",Noun: 3rd Declension,Travel,832
familia -ae f.,"household, family",Noun: 1st Declension,The Household,943
f_ns fontis m.,"spring, fountain",Noun: 3rd Declension,Earth and Water,706
g_ns gentis f.,"family, clan",Noun: 3rd Declension,The Household,194
et,and,Conjunction,Conjunctions/Adverbs,1
f_tum -_ n.,fate; death,Noun: 2nd Declension,Religion,157
f_rma -ae f.,shape; beauty,Noun: 1st Declension,Other Senses,422
genus generis n.,"origin, lineage, kind",Noun: 3rd Declension,The Household,170
"ex, _","out of, from (+ abl.)",Preposition,Place,26
fax facis f.,torch,Noun: 3rd Declension,Air and Fire,511
fors fortis f.,chance,Noun: 3rd Declension,Religion,993
gladius -_ m.,sword,Noun: 2nd Declension,War and Peace,862
exemplum -_ n.,"example, sample, copy",Noun: 2nd Declension,Speech/Oratory,519
f_l_x -_cis,lucky,Adjective: 3rd Declension,Personality Traits/Characteristics,309
fortis -e,brave,Adjective: 3rd Declension,Personality Traits/Characteristics,286
gl_ria -ae f.,"glory, fame",Noun: 1st Declension,Social Life,360
exerce_ -erc_re -ercu_ -ercitum,"train, exercise, carry on",Verb: 2nd Conjugation,Athletics,576
f_mina -ae f.,woman,Noun: 1st Declension,People,501
fort_na -ae f.,fortune,Noun: 1st Declension,Religion,138
gr_tia -ae f.,"favor, influence, gratitude",Noun: 1st Declension,Social Life,380
ex_stim_ -_re,"think, believe",Verb: 1st Conjugation,Education/Knowledge,613
ferus -a -um,"wild, fierce; fera -ae f.: wild animal",Adjective: 1st and 2nd Declension,Animals/Plants,222
forum -_ n.,"market-place, forum",Noun: 2nd Declension,The City,811
gr_tus -a -um,pleasant; grateful,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,434
exsilium -_ n.,"exile, banishment",Noun: 2nd Declension,Travel,794
ferrum -_ n.,"iron, iron weapon or implement",Noun: 2nd Declension,Violence,231
fr_ter fr_tris m.,brother,Noun: 3rd Declension,The Household,225
gravis -e,"heavy, serious",Adjective: 3rd Declension,Measurement,140
exspect_ -_re,"watch, wait, expect",Verb: 1st Conjugation,Vision,442
fessus -a -um,"weary, tired",Adjective: 1st and 2nd Declension,Life and Being,625
frequ_ns -ntis,"in large numbers, often",Adjective: 3rd Declension,Measurement,918
habe_ hab_re habu_ habitum,"have, hold",Verb: 2nd Conjugation,Other Senses,39
extr_mus -a -um,"farthest, situated at the end or tip, extreme",Adjective: 1st and 2nd Declension,Geography,385
fid_lis -e,faithful,Adjective: 3rd Declension,Personality Traits/Characteristics,979
fr_ns frontis f.,"forehead, brow; front",Noun: 3rd Declension,The Body,559
hic haec hoc,"this, these",Pronoun,Pronouns/Interrogatives,7
f_bula -ae f.,"account, tale, story",Noun: 1st Declension,Writing/Poetry,966
f_lia -ae f.; f_lius -_ m.,daughter; son,Noun: 1st Declension,The Household,909
fr_mentum -_ n.,grain,Noun: 2nd Declension,Animals/Plants,936
hiems hiemis f.,winter,Noun: 3rd Declension,Lengths of Time,803
facilis -e,easy,Adjective: 3rd Declension,Personality Traits/Characteristics,451
f_nis -is m.,"end, boundary",Noun: 3rd Declension,Geography,236
fuga -ae f.,"flight, route",Noun: 1st Declension,Travel,364
facinus facinoris n.,"deed, crime",Noun: 3rd Declension,Justice,646
flamma -ae f.,"flame, fire",Noun: 1st Declension,Air and Fire,298
fug_ -_re,put to flight,Verb: 1st Conjugation,Travel,957
eques equitis m.,"horseman, knight",Noun: 3rd Declension,War and Peace,296
factum -_ n.,"deed, accomplishment",Noun: 2nd Declension,Making/Doing,611
fle_ fl_re fl_v_ fl_tum,weep,Verb: 2nd Conjugation,Emotions,457
f_nus f_neris n.,funeral; death; dead body,Noun: 3rd Declension,Religion,524
corpus corporis n.,body,Noun: 3rd Declension,The Body,75
decus decoris n.,"beauty, grace; ornament, glory, honor",Noun: 3rd Declension,Personality Traits/Characteristics,548
dominus -_ m.; domina -ae f.,"household master, lord; mistress",Noun: 2nd Declension,The Household,241
cre_ -_re,"produce, create; elect, choose",Verb: 1st Conjugation,Making/Doing,978
d_s_der_ -_re,"long for, desire greatly",Verb: 1st Conjugation,Love,892
d_nec,until,Conjunction,Time,771
cr_men -inis n.,"verdict, accusation",Noun: 3rd Declension,Justice,475
dexter -tra -trum,right; dextera -ae f.: right hand,Adjective: 1st and 2nd Declension,Place,260
d_n_ -_re,present with a gift (+ acc. of person and abl. of thing),Verb: 1st Conjugation,Social Life,606
culpa -ae f.,"guilt, fault, blame",Noun: 1st Declension,Justice,769
difficilis -e,"not easy, hard, difficult",Adjective: 3rd Declension,Personality Traits/Characteristics,861
d_num -_ n.,"gift, present",Noun: 2nd Declension,Social Life,476
cum,"with (prep. + abl.); when, since, although (conjunction + subj.)",Preposition,Conjunctions/Adverbs,10
d_gnit_s -_tis f.,"worth, reputation, honor",Noun: 3rd Declension,Personality Traits/Characteristics,956
dubit_ -_re,"hesitate, doubt",Verb: 1st Conjugation,Education/Knowledge,521
c_nctus -a -um,entire all together,Adjective: 1st and 2nd Declension,Measurement,292
d_gnus -a -um,worthy,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,291
dubius -a -um,"doubtful; (as subst.) a doubt; sine dubi_, without a doubt, certainly",Adjective: 1st and 2nd Declension,Deception,528
cup_d_ -inis f.,"desire, eagerness, craving",Noun: 3rd Declension,Love,906
discipl_na -ae f.,"training, instruction; learning, discipline",Noun: 1st Declension,Education/Knowledge,982
dulcis -e,sweet,Adjective: 3rd Declension,Other Senses,383
c_ra -ae f.,"care, concern",Noun: 1st Declension,Love,186
d_versus -a -um,"different, diverse",Adjective: 1st and 2nd Declension,Other Senses,641
dum,while (+ indic.); until (+ subj.); provided that (+ subj.),Conjunction,Time,103
c_r_ -_re,"watch over, look after, care for (+ acc.)",Verb: 1st Conjugation,Love,743
d_ves d_vitis,"rich (poet. d_s, d_tis)",Adjective: 3rd Declension,Business/Money,564
duo duae duo,two,Adjective: Numeral,Measurement,221
cust_s cust_dis m.,guardian,Noun: 3rd Declension,The Household,622
d_vitiae -_rum f. pl.,"riches, wealth",Noun: 1st Declension,Business/Money,712
d_rus -a -um,"hard, tough, harsh",Adjective: 1st and 2nd Declension,Other Senses,249
damn_ -_re,condemn,Verb: 1st Conjugation,Justice,751
d_vus -a -um,"divine, godlike; (as subst.) a god",Adjective: 1st and 2nd Declension,Religion,962
dux ducis m./f.,"leader, general",Noun: 3rd Declension,War and Peace,239
damnum -_ n.,"damage, injury",Noun: 2nd Declension,Violence,926
d_ dare ded_ datum,give,Verb: 1st Conjugation,Social Life,28
ego me_ mihi m_,"I, me",Pronoun,Pronouns/Interrogatives,11
d_,"down from, about, concerning (+ abl.)",Preposition,Place,46
doce_ -_re -u_ doctum,teach,Verb: 2nd Conjugation,Education/Knowledge,393
_gregius -a -um,"distinguished, uncommon",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,860
conv_vium -i_ n.,"banquet, feast",Noun: 2nd Declension,Social Life,921
deus -_ m.; dea -ae f.,god; goddess,Noun: 2nd Declension,Religion,42
dole_ -_re dolu_,"feel pain or grief, grieve",Verb: 2nd Conjugation,Emotions,785
enim,"for, indeed",Conjunction,Pronouns/Interrogatives,57
c_pia -ae f.,abundance; (pl.) troops,Noun: 1st Declension,War and Peace,331
d_be_ d_b_re d_bu_ d_bitum,"owe, be obliged",Verb: 2nd Conjugation,Business/Money,155
dolor -_ris m.,"pain, grief",Noun: 3rd Declension,Emotions,193
epistula -ae f.,letter,Noun: 1st Declension,Writing/Poetry,951
cor cordis n.,"heart; cord_ est, it is pleasing to (+ dat.)",Noun: 3rd Declension,The Body,795
decem,ten,Adjective: Numeral,Measurement,914
dolus -_ m.,"artifice, device, trick",Noun: 2nd Declension,Deception,701
caed_s -is f.,"killing, slaughter",Noun: 3rd Declension,Violence,415
c_nse_ c_ns_re c_nsu_ c_nsum,"assess, rate; think, decide",Verb: 2nd Conjugation,Education/Knowledge,928
color -_ris m.,color,Noun: 3rd Declension,Vision,725
caelestis -e,"from or of heaven; caelest_s, the gods",Adjective: 3rd Declension,Air and Fire,960
centum,one hundred,Adjective: Numeral,Measurement,730
coma -ae f.,"hair, tresses",Noun: 1st Declension,The Body,405
caelum -_ n.,"sky, heavens",Noun: 2nd Declension,Air and Fire,117
cert_ -_re,"decide by contest; fight, compete, vie",Verb: 1st Conjugation,Athletics,864
comes comitis m./f.,"companion, comrade; attendant, follower",Noun: 3rd Declension,Social Life,448
auris -is f.,ear,Noun: 3rd Declension,The Body,366
campus -_ m.,"plain, field",Noun: 2nd Declension,Earth and Water,391
certus -a -um,"sure, fixed",Adjective: 1st and 2nd Declension,Measurement,285
comm_nis -e,"common, general",Adjective: 3rd Declension,The City,660
aurum -_ n.,gold,Noun: 2nd Declension,Business/Money,303
candidus -a -um,"white, fair",Adjective: 1st and 2nd Declension,Vision,692
c_terus -a -um,"the other, the others, the rest",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,596
compar_ -_re,"get ready, provide; compare",Verb: 1st Conjugation,Business/Money,890
aut,or,Conjunction,Conjunctions/Adverbs,24
canis -is m./f.,dog,Noun: 3rd Declension,Animals/Plants,687
cibus -_ m.,food,Noun: 2nd Declension,Life and Being,863
cond_ci_ -_nis f.,"agreement, condition",Noun: 3rd Declension,Business/Money,920
autem,"moreover, but, however",Conjunction,Conjunctions/Adverbs,123
caput capitis n.,head,Noun: 3rd Declension,The Body,124
cinis cineris m./f.,"ashes, embers",Noun: 3rd Declension,Air and Fire,779
coniunx coniugis m./f.,"spouse, husband, wife",Noun: 3rd Declension,The Household,218
auxilium -_ n.,"support, assistance; (pl.) auxiliary forces",Noun: 2nd Declension,War and Peace,543
care_ -_re -u_,lack (+ abl.),Verb: 2nd Conjugation,Business/Money,572
circ_,around (adv. and prep. +acc.),Preposition,Place,735
c_nsilium -_ n.,"plan; council, group of advisors",Noun: 2nd Declension,The City,217
barbarus -_ m.,"foreigner, barbarian",Noun: 2nd Declension,War and Peace,768
carmen -inis n.,song,Noun: 3rd Declension,Writing/Poetry,254
citus -a -um,swift; cit_ swiftly,Adjective: 1st and 2nd Declension,Time,590
c_nst_ -st_re -stit_,"agree; constat, it is established that (+ acc. and infin.)",Verb: 1st Conjugation,Speech/Oratory,731
be_tus -a -um,"happy, blessed, prosperous, fortunate",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,408
c_rus -a -um,dear,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,462
c_vis -is m./f.,citizen,Noun: 3rd Declension,The City,471
c_nsu_t_do -inis f.,"custom, habit",Noun: 3rd Declension,Personality Traits/Characteristics,954
bellum -_ n.,war,Noun: 2nd Declension,War and Peace,86
castrum -_ n.,"fortress, (regularly plural, castra camp)",Noun: 2nd Declension,War and Peace,224
c_vit_s -_tis f.,"citizenship, state",Noun: 3rd Declension,The City,346
c_nsul -ulis m.,consul,Noun: 3rd Declension,The City,321
beneficium -_ n.,"service, kindness",Noun: 2nd Declension,Social Life,182
castus -a -um,"pure, spotless, chaste",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,838
cl_mor -_ris m.,"outcry, shout",Noun: 3rd Declension,Speech/Oratory,605
contine_ -tin_re -tinu_ -tentum,"contain, restrain",Verb: 2nd Conjugation,Verbs of Compelling/Directing,804
bonus -a -um,good,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,68
cave_ cav_re c_v_ cautum,"be on guard, beware",Verb: 2nd Conjugation,Violence,941
cl_rus -a -um,"clear, distinguished",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,395
contr_,"against, opposite (adv. and prep. +acc.)",Preposition,Place,271
b_s bovis m.,ox; gen. pl. boum,Noun: 3rd Declension,Animals/Plants,808
causa -ae f.,"cause, reason; caus_ + preceding genitive, for the sake of",Noun: 1st Declension,Speech/Oratory,107
classis -is f.,"class, division, fleet",Noun: 3rd Declension,War and Peace,505
brevis -e,"short, shallow, brief",Adjective: 3rd Declension,Measurement,589
celebr_ -_re,"frequent, throng, crowd",Verb: 1st Conjugation,The City,893
c_git_ -_re,"think, reflect",Verb: 1st Conjugation,Education/Knowledge,515
caecus -a -um,"blind, unseeing; dark, obscure",Adjective: 1st and 2nd Declension,Vision,728
celer -is -e,swift,Adjective: 3rd Declension,Time,745
cohors cohortis f.,"cohort, band, troop",Noun: 3rd Declension,War and Peace,666
aet_s -t_tis f.,"age, time of life",Noun: 3rd Declension,Lengths of Time,308
amnis -is m.,"river, torrent",Noun: 3rd Declension,Earth and Water,467
_ra -ae f.,altar,Noun: 1st Declension,Religion,374
avis -is f.,bird,Noun: 3rd Declension,Animals/Plants,855
aeternus -a -um,"everlasting, eternal",Adjective: 1st and 2nd Declension,Lengths of Time,734
amor -_ris m.,love,Noun: 3rd Declension,Love,116
arbor arboris f.,tree,Noun: 3rd Declension,Animals/Plants,468
aura -ae f.,breeze,Noun: 1st Declension,Air and Fire,420
aeth_r aetheris n.,"pure upper air, ether, heaven, sky",Noun: 3rd Declension,Air and Fire,851
amplus -a -um,"large, spacious",Adjective: 1st and 2nd Declension,Measurement,915
_rde_ _rd_re _rs_ _rsum,"blaze, glow; be eager",Verb: 2nd Conjugation,Air and Fire,618
aureus -a -um,golden; splendid,Adjective: 1st and 2nd Declension,Business/Money,691
aevum -i n.,"eternity; lifetime, age",Noun: 2nd Declension,Lengths of Time,875
an,or (in questions); utrum ... an: whether ... or,Conjunction,Conjunctions/Adverbs,94
argentum -_ n.,"silver, money",Noun: 2nd Declension,Business/Money,849
_ ab abs,"from, by (+abl.)",Preposition,Place,21
ager agr_ m.,field,Noun: 2nd Declension,Animals/Plants,324
anima -ae f.,"breath, spirit",Noun: 1st Declension,Life and Being,493
arma -_rum n. pl.,"arms, weapons",Noun: 2nd Declension,War and Peace,98
ac,"and in addition, and also, and; (after comparatives) than; simul ac, as soon as; _ atque",Conjunction,Conjunctions/Adverbs,36
agit_ -_re,drive,Verb: 1st Conjugation,Verbs of Compelling/Directing,578
animal -_lis n.,"a living being, an animal",Noun: 3rd Declension,Animals/Plants,547
ars artis f.,skill,Noun: 3rd Declension,Education/Knowledge,258
_cer _cris _cre,"sharp, piercing",Adjective: 3rd Declension,Other Senses,587
_gmen -minis n.,line of march,Noun: 3rd Declension,War and Peace,358
animus -_ m.,"spirit, mind",Noun: 2nd Declension,Life and Being,40
arvum -_ n.,"ploughed land, field",Noun: 2nd Declension,Animals/Plants,637
ad,"to, up to, towards (+acc.)",Preposition,Place,14
albus -a -um,white,Adjective: 1st and 2nd Declension,Vision,925
annus -_ m.,year,Noun: 2nd Declension,Lengths of Time,167
arx arcis f.,"citadel, castle; summit",Noun: 3rd Declension,The City,638
adhibe_ -hib_re -hibu_ -hibitum,apply,Verb: 2nd Conjugation,Making/Doing,959
alius -a -ud,"other, another; _lias: at another time",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,37
ante,"before, in front of (adv. and prep. + acc.)",Preposition,Time,112
astrum -_ n.,star; constellation,Noun: 2nd Declension,Air and Fire,685
adversus -a -um,"facing, opposed; unfavorable",Adjective: 1st and 2nd Declension,War and Peace,657
ali_nus -a -um,"foreign, strange",Adjective: 1st and 2nd Declension,Geography,367
antequam,before,Conjunction,Time,787
at,"but, but yet",Conjunction,Conjunctions/Adverbs,74
aed_s -is f.,building; (pl.) house,Noun: 3rd Declension,The House,965
aliquis -quae -quod,"some, any; si quis, si quid: anyone who, anything that",Pronoun,Pronouns/Interrogatives,77
ant_quus -a -um,"ancient, old-time, former",Adjective: 1st and 2nd Declension,Lengths of Time,617
atque,"and in addition, and also, and; (after comparatives) than; simul atque, as soon as; _ ac",Conjunction,Conjunctions/Adverbs,35
aeger aegra aegrum,sick,Adjective: 1st and 2nd Declension,Life and Being,810
alter altera alterum,other of two,Adjective: 1st and 2nd Declension,Measurement,148
app_re_ -_re -u_,"appear, become visible",Verb: 2nd Conjugation,Vision,830
auctor -_ris m.,"originator, founder",Noun: 3rd Declension,Writing/Poetry,546
aequor aequoris n.,"level surface, sea, plain",Noun: 3rd Declension,Earth and Water,424
altus -a -um,"high, lofty; deep",Adjective: 1st and 2nd Declension,Geography,159
appell_ -pell_re,"call, address, name",Verb: 1st Conjugation,Social Life,700
auct_rit_s -_tis f.,"influence, clout, authority",Noun: 3rd Declension,Social Life,898
aequus -a -um,equal,Adjective: 1st and 2nd Declension,Justice,610
am_ -_re,to love; am_ns -ntis m./f.: lover,Verb: 1st Conjugation,Love,219
aptus -a -um,"fit, suitable",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,916
aud_x aud_cis,"bold, daring; reckless",Adjective: 3rd Declension,Personality Traits/Characteristics,876
__r _eris m.,air,Noun: 3rd Declension,Air and Fire,845
am_citia -ae f.,friendship,Noun: 1st Declension,Social Life,690
apud,"near, in the presence of (+acc.)",Preposition,Place,205
aude_ aud_re ausus sum,"dare, be eager",Verb: 2nd Conjugation,Personality Traits/Characteristics,270
aes aeris n.,"copper, bronze",Noun: 3rd Declension,Business/Money,744
am_cus -a -um,friendly; (as subst.) friend,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,198
aqua -ae f.,water,Noun: 1st Declension,Earth and Water,272
auge_ aug_re aux_ auctum,increase,Verb: 2nd Conjugation,Making/Doing,709